#,title,videoUrl,videoId,publishedAt,position
1,An Introduction to Artificial Intelligence | Prof. Mausam,https://www.youtube.com/watch?v=GHpchgLoDvI&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=1,GHpchgLoDvI,2020-01-02T03:40:14Z,0
2,Introduction: What to Expect from AI,https://www.youtube.com/watch?v=K9gH7hBAdpo&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=2,K9gH7hBAdpo,2020-01-16T11:48:43Z,1
3,Introduction: History of AI from 40s - 90s,https://www.youtube.com/watch?v=HF_ncSeCMmA&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=3,HF_ncSeCMmA,2020-01-24T08:56:24Z,2
4,Introduction: History of AI in the 90s,https://www.youtube.com/watch?v=P74Sa1GvPd4&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=4,P74Sa1GvPd4,2020-01-16T11:48:43Z,3
5,Introduction: History of AI in NASA & DARPA(2000s),https://www.youtube.com/watch?v=sSMoNwbYLq4&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=5,sSMoNwbYLq4,2020-01-16T11:48:43Z,4
6,Introduction: The Present State of AI,https://www.youtube.com/watch?v=Pa7LYG8BnJo&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=6,Pa7LYG8BnJo,2020-01-16T11:48:43Z,5
7,Introduction: Definition of AI Dictionary Meaning,https://www.youtube.com/watch?v=sNpME1MTiKg&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=7,sNpME1MTiKg,2020-01-16T11:48:43Z,6
8,Introduction: Definition of AI Thinking VS Acting and Humanly VS Rationally,https://www.youtube.com/watch?v=ZqfCqOpr2Ds&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=8,ZqfCqOpr2Ds,2020-01-16T11:48:43Z,7
9,Introduction: Definition of AI Rational Agent View of AI,https://www.youtube.com/watch?v=dVxpNCG2X4E&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=9,dVxpNCG2X4E,2020-01-16T11:48:43Z,8
10,"Introduction: Examples Tasks, Phases of AI & Course Plan",https://www.youtube.com/watch?v=J9R2KDh_9wM&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=10,J9R2KDh_9wM,2020-01-16T11:48:43Z,9
11,Uniform Search: Notion of a State,https://www.youtube.com/watch?v=sUNz_-YUPfw&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=11,sUNz_-YUPfw,2020-01-29T04:16:54Z,10
12,Uniformed Search: Search Problem and Examples Part-2,https://www.youtube.com/watch?v=aTy9niABXSo&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=12,aTy9niABXSo,2020-01-29T04:24:40Z,11
13,Uniformed Search: Basic Search Strategies Part-3,https://www.youtube.com/watch?v=54yuKV9U7yc&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=13,54yuKV9U7yc,2020-01-29T04:32:27Z,12
14,Uniformed Search: Iterative Deepening DFS Part-4,https://www.youtube.com/watch?v=1v5ixVQ5D7c&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=14,1v5ixVQ5D7c,2020-01-29T04:39:51Z,13
15,Uniformed Search: Bidirectional Search Part-5,https://www.youtube.com/watch?v=POFCgzWwR-Y&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=15,POFCgzWwR-Y,2020-01-29T04:45:41Z,14
16,Informed Search: Best First Search Part-1,https://www.youtube.com/watch?v=MnUGa8IP6Jw&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=16,MnUGa8IP6Jw,2020-01-29T07:03:21Z,15
17,Informed Search: Greedy Best First Search and A* Search Part-2,https://www.youtube.com/watch?v=N_h5HOnqMCA&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=17,N_h5HOnqMCA,2020-01-29T07:56:57Z,16
18,Informed Search: Analysis of A* Algorithm Part-3,https://www.youtube.com/watch?v=KRjKKml4AbQ&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=18,KRjKKml4AbQ,2020-01-29T08:15:46Z,17
19,Informed Search Proof of optimality of A* Part-4,https://www.youtube.com/watch?v=iAZCDlzf-QM&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=19,iAZCDlzf-QM,2020-01-29T08:23:42Z,18
20,Informed Search: Iterative Deepening A* and Depth First Branch & Bound Part-5,https://www.youtube.com/watch?v=eB7H1JqR41g&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=20,eB7H1JqR41g,2020-01-29T08:33:13Z,19
21,Informed Search: Admissible Heuristics and Domain Relaxation Part-6,https://www.youtube.com/watch?v=TaP9-xFdlnI&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=21,TaP9-xFdlnI,2020-02-07T12:26:23Z,20
22,Informed Search: Pattern Database Heuristics Part-7,https://www.youtube.com/watch?v=Y8Kz5jfzWls&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=22,Y8Kz5jfzWls,2020-02-07T12:26:23Z,21
23,Local Search: Satisfaction Vs Optimization Part-1,https://www.youtube.com/watch?v=Bwa6TKAspY4&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=23,Bwa6TKAspY4,2020-02-14T10:46:55Z,22
24,Local Search: The Example of N-Queens Part-2,https://www.youtube.com/watch?v=tCaYz8fmlpE&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=24,tCaYz8fmlpE,2020-02-14T11:10:56Z,23
25,Local Search: Hill Climbing Part-3,https://www.youtube.com/watch?v=gwcq1Kn7F6g&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=25,gwcq1Kn7F6g,2020-02-14T11:16:41Z,24
26,Local Search: Drawbacks of Hill Climbing Part-4,https://www.youtube.com/watch?v=y9c2a1ORd-E&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=26,y9c2a1ORd-E,2020-02-14T11:23:43Z,25
27,Local Search: of Hill Climbing With random Walk & Random Restart Part-5,https://www.youtube.com/watch?v=66y70MhetSw&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=27,66y70MhetSw,2020-02-14T11:34:25Z,26
28,Local Search: Hill Climbing With Simulated Anealing Part-6,https://www.youtube.com/watch?v=KPj-emuUbVI&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=28,KPj-emuUbVI,2020-02-14T11:40:32Z,27
29,Local Search: Local Beam Search and Genetic Algorithms Part-7,https://www.youtube.com/watch?v=ZdVL5k_Jkbg&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=29,ZdVL5k_Jkbg,2020-02-14T11:48:42Z,28
30,Adversarial Search : Minimax Algorithm for two player games,https://www.youtube.com/watch?v=xXCszgfPN6Y&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=30,xXCszgfPN6Y,2020-02-21T15:24:32Z,29
31,Adversarial Search : An Example of Minimax Search,https://www.youtube.com/watch?v=pR7wCJgTmA4&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=31,pR7wCJgTmA4,2020-02-21T15:24:32Z,30
32,Adversarial Search : Alpha Beta Pruning,https://www.youtube.com/watch?v=OP-lkZo6fDY&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=32,OP-lkZo6fDY,2020-02-21T15:24:32Z,31
33,Adversarial Search : Analysis of Alpha Beta Pruning,https://www.youtube.com/watch?v=y6UrY2vpKTU&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=33,y6UrY2vpKTU,2020-02-21T15:24:32Z,32
