#,title,videoUrl,videoId,publishedAt,position
1,Data Analytics FULL Course for Beginners to Pro in 29 HOURS - 2025 Edition,https://www.youtube.com/watch?v=VaSjiJMrq24&list=PLZwmRVuUgFXI&index=1,VaSjiJMrq24,2024-01-07T13:30:10Z,0
2,Data Science FULL Course for Beginners in 27 HOURS - 2025 Edition,https://www.youtube.com/watch?v=gDZ6czwuQ18&list=PLZwmRVuUgFXI&index=2,gDZ6czwuQ18,2024-06-11T13:30:30Z,1
3,Discrete Maths in one shot | Complete GATE Course | Hindi #withsanchitsir,https://www.youtube.com/watch?v=h4sd7wRcyR0&list=PLZwmRVuUgFXI&index=3,h4sd7wRcyR0,2024-04-06T07:19:33Z,2
4,Data Base Management System | DBMS in one shot | Complete GATE Course | Hindi #withsanchitsir,https://www.youtube.com/watch?v=FchQ6wZVqsA&list=PLZwmRVuUgFXI&index=4,FchQ6wZVqsA,2024-04-20T10:07:21Z,3
5,Computer Networks | CN in one shot | Complete GATE Course | Hindi #withsanchitsir,https://www.youtube.com/watch?v=APVCgkqWcQ4&list=PLZwmRVuUgFXI&index=5,APVCgkqWcQ4,2024-12-31T02:09:37Z,4
6,Digital Logic | DL in one shot | Complete GATE Course | Hindi #withsanchitsir,https://www.youtube.com/watch?v=lH0sYax5Yg0&list=PLZwmRVuUgFXI&index=6,lH0sYax5Yg0,2024-08-10T12:16:30Z,5
7,Computer Organization Architecture | COA in one shot | Complete GATE Course | Hindi #withsanchitsir,https://www.youtube.com/watch?v=nezosHntjPg&list=PLZwmRVuUgFXI&index=7,nezosHntjPg,2024-09-30T07:47:05Z,6
8,Operating System | OS in one shot | Complete GATE Course | Hindi #withsanchitsir,https://www.youtube.com/watch?v=009FHqBo87Q&list=PLZwmRVuUgFXI&index=8,009FHqBo87Q,2024-11-25T07:22:09Z,7
9,Theory of Computation | TOC in one shot | Complete GATE Course | Hindi #withsanchitsir,https://www.youtube.com/watch?v=gK_V_lzNQg8&list=PLZwmRVuUgFXI&index=9,gK_V_lzNQg8,2024-10-31T09:08:51Z,8
10,Complete CD Compiler Design in one shot | Semester Exam | Hindi,https://www.youtube.com/watch?v=OQCjakjCJu4&list=PLZwmRVuUgFXI&index=10,OQCjakjCJu4,2024-01-11T03:34:40Z,9
11,Data Structure | DS in one shot | Complete GATE Course | Hindi #withsanchitsir,https://www.youtube.com/watch?v=2o2vX0ZqQ_Y&list=PLZwmRVuUgFXI&index=11,2o2vX0ZqQ_Y,2024-10-12T04:30:01Z,10
12,Algorithm | Algo in one shot | Complete GATE Course | Hindi #withsanchitsir,https://www.youtube.com/watch?v=aaHL0KygWqE&list=PLZwmRVuUgFXI&index=12,aaHL0KygWqE,2025-01-10T03:58:38Z,11
13,Complete Software Engineering in one shot | Semester Exam | Hindi,https://www.youtube.com/watch?v=NlLM3sVF8wY&list=PLZwmRVuUgFXI&index=13,NlLM3sVF8wY,2023-12-17T20:33:59Z,12
14,Complete AI Artificial Intelligence in one shot | Semester Exam | Hindi,https://www.youtube.com/watch?v=yiXAmkimZRQ&list=PLZwmRVuUgFXI&index=14,yiXAmkimZRQ,2024-04-30T08:38:10Z,13
15,Complete ML Machine Learning in one shot | Semester Exam | Hindi,https://www.youtube.com/watch?v=2oGsCHlfBUg&list=PLZwmRVuUgFXI&index=15,2oGsCHlfBUg,2024-06-09T04:53:53Z,14
16,Teaching Aptitude Updated Marathon | UGC NET Paper-1 Dec 2025 | Concept + PYQs #ugcnet #ugcnetpaper1,https://www.youtube.com/watch?v=rBWpeG6DcoA&list=PLZwmRVuUgFXI&index=16,rBWpeG6DcoA,2025-09-08T12:30:06Z,15
17,Research Aptitude Updated Marathon | UGC NET Paper-1 Unit-2 | Concept + PYQs #ugcnet #ugcnetpaper1,https://www.youtube.com/watch?v=vJdo69_nS4g&list=PLZwmRVuUgFXI&index=17,vJdo69_nS4g,2025-09-12T12:30:06Z,16
18,Comprehension Marathon | UGC NET Paper-1 Unit-3 @InculcateLearning 130 PYQs #ugcnet#ugcnetpaper1,https://www.youtube.com/watch?v=1UNrv0Mop-E&list=PLZwmRVuUgFXI&index=18,1UNrv0Mop-E,2025-09-16T14:30:06Z,17
19,Communication Updated Marathon | UGC NET Paper-1 Unit-4 | Concept + PYQs #ugcnet #ugcnetpaper1,https://www.youtube.com/watch?v=PUEi4b-q2Ac&list=PLZwmRVuUgFXI&index=19,PUEi4b-q2Ac,2025-09-19T14:30:06Z,18
20,Mathematical Reasoning & Aptitude Updated Marathon | UGC NET Paper-1 Unit-5 #ugcnet #ugcnetpaper1,https://www.youtube.com/watch?v=KwOV7W9GrtQ&list=PLZwmRVuUgFXI&index=20,KwOV7W9GrtQ,2025-10-04T12:30:06Z,19
21,Logical Reasoning Updated Marathon | UGC NET Paper-1 Unit-6 Dec 2025 #ugcnet #ugcnetpaper1,https://www.youtube.com/watch?v=mJ4dGDpoQt0&list=PLZwmRVuUgFXI&index=21,mJ4dGDpoQt0,2025-10-24T12:58:07Z,20
22,Data Interpretation Updated Marathon | UGC NET Paper-1 Unit-7 Dec 2025 #ugcnet #ugcnetpaper1,https://www.youtube.com/watch?v=xhI2tfYmuC8&list=PLZwmRVuUgFXI&index=22,xhI2tfYmuC8,2025-11-01T14:30:07Z,21
23,ICT- Information & Communication Technology Updated Marathon | UGC NET Paper-1 Unit-8 Dec 2025,https://www.youtube.com/watch?v=zMfKEIuPjzk&list=PLZwmRVuUgFXI&index=23,zMfKEIuPjzk,2025-11-16T12:30:06Z,22
24,"PDE -People, Development & Environment Updated Marathon | UGC NET Paper-1 Unit-9 Dec 2025 #ugcnet",https://www.youtube.com/watch?v=mF-lX0-hSiM&list=PLZwmRVuUgFXI&index=24,mF-lX0-hSiM,2025-11-19T12:30:06Z,23
25,Higher Education Updated Marathon | UGC NET Paper-1 Unit-10 Dec 2025 #ugcnetpaper1 #ugcneteducation,https://www.youtube.com/watch?v=AfOWvABRmWw&list=PLZwmRVuUgFXI&index=25,AfOWvABRmWw,2025-11-22T12:30:06Z,24
